"Service Items","Actual 09-2024","Actual 10-2024","Actual 11-2024","Actual 12-2024","Actual 01-2025","Actual 02-2025","Actual 03-2025","Actual 04-2025","Actual 05-2025","Actual 06-2025","Actual 07-2025","Actual 08-2025","Forecasted 09-2025","Forecasted 10-2025","Forecasted 11-2025","Forecasted 12-2025","Forecasted 01-2026","Forecasted 02-2026","Forecasted 03-2026","Forecasted 04-2026","Forecasted 05-2026","Forecasted 06-2026","Forecasted 07-2026","Forecasted 08-2026","Total"
"RDS - Proxy","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0","10747.58","10861.92","3996.52","2511.66","2379.41","2465.7","2547.09","2623.99","2696.79","2989.76","2943.44","3169.87","3625.39","3286.6","35236.22"
"Virtual Private Cloud - VPC Endpoint Usage","9243.39","9141.93","9510.01","11399.9","10987.26","9396.15","9527.48","9393.66","9658.93","9971.76","10192.3","10688.26","10076.14","10061.18","10227.94","10432.18","10490.63","10364.37","10197.89","10174.71","10333.98","10531.4","10583.64","10451.73","123925.79"
"RDS - Storage","11230.15","11121.15","9985.84","8826.91","0.0","-0.0","0.0","-0.0","0.0","-0.0","9908.62","10076.48","9595.67","10718.44","11380.18","11705.56","11902.66","12207.59","13194.99","14206.47","15310.09","17056.86","18892.25","20582.31","166753.07"
"CloudWatch Log Groups","21317.53","21870.09","23793.2","21962.93","4404.55","4015.65","4182.6","4234.31","4283.32","4233.35","9657.99","7746.63","8226.15","8139.04","7387.87","6324.55","5094.15","3774.79","2713.92","2189.99","2337.8","3112.35","4300.91","5579.95","59181.47"
"Managed Streaming for Kafka - Instance","3672.86","3793.8","3665.95","3487.86","3604.99","5402.9","3512.08","3403.55","3558.7","3460.06","3634.64","3877.58","3620.58","3640.42","3682.33","3621.85","3640.54","3681.4","3619.99","3637.84","3677.97","3615.89","3633.15","3672.74","43744.7"
"EC2 - NAT Gateway Transfer","104986.64","116607.72","139061.22","130827.82","6701.01","5614.59","6053.9","4689.69","565.04","259.91","5780.78","2644.48","21832.03","26801.37","27513.25","23776.94","16593.57","7887.92","0.0","0.0","0.0","0.0","5231.13","13936.78","143572.99"
"OpenSearch - Compute","4434.29","4582.1","4656.23","3676.83","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","2543.94","2543.94","2163.55","2109.12","1879.13","1505.23","1114.07","815.54","740.24","753.75","765.5","971.21","1312.3","1635.88","15765.52"
"ECR - Storage","2775.16","2994.68","3548.66","3489.76","3632.1","3868.87","4039.04","4221.84","3508.46","2789.3","2863.74","2373.23","2592.8","2565.2","2570.8","2586.79","2588.38","2555.43","2477.71","2357.67","2209.67","2056.12","1921.44","1861.1","28343.11"
"MQ - Broker Instance","1997.89","3317.88","2226.82","2026.17","2066.8","1883.43","2079.13","2011.77","2075.93","2012.32","2074.12","2073.05","2038.78","2061.54","2048.0","2049.78","2061.24","2040.53","2065.78","2043.51","2057.51","2056.14","2045.06","2066.1","24633.97"
"CloudWatch - Metrics","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2004.38","2450.58","2441.99","2387.82","1991.46","2187.58","2104.62","2144.02","2233.68","2320.27","2460.68","2721.83","2980.06","3187.46","3309.08","3332.42","3270.75","32252.45"
"RDS - Charged Backup Usage","5108.6","5112.2","3116.09","2020.42","2099.27","2018.32","2061.99","1944.52","1993.34","1937.36","1914.39","1850.19","1908.18","1906.41","1876.93","1821.14","1747.83","1670.85","1605.38","1563.81","1552.41","1569.64","1606.57","1649.17","20478.32"
"Redshift - Compute","959.02","990.84","981.95","733.21","234.12","-0.0","0.0","0.0","-0.0","-0.0","1738.45","1740.43","1585.51","1750.99","1864.93","1946.81","2022.68","2131.32","2288.77","2440.22","2647.9","2883.89","3113.69","3312.18","27988.89"
"Managed Streaming for Kafka - Storage","725.4","725.4","725.4","682.42","699.48","1049.09","669.6","669.6","670.77","1176.63","1323.71","1340.89","1201.88","1182.18","1217.57","1296.43","1362.34","1370.56","1332.91","1306.02","1334.79","1407.58","1467.91","1471.0","15951.17"
"DynamoDB - On-demand Read Capacity","2881.03","1747.23","898.05","791.0","0.0","-0.0","-0.0","0.0","-0.0","-0.0","1169.18","1328.17","1236.95","1328.11","1340.78","1299.7","1241.32","1242.09","1309.89","1371.16","1445.47","1628.21","1814.62","1967.31","17225.61"
"EC2 - NAT Gateway Usage","1605.61","1659.13","1646.18","1320.05","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","1277.6","1303.84","1129.54","1165.9","1135.56","1054.29","951.0","859.99","863.0","882.85","902.16","1026.93","1170.98","1300.25","12442.45"
"RDS - I/O","9946.87","10414.66","11707.44","9874.56","-0.0","-0.0","0.0","-0.0","-0.0","-0.0","1392.91","1281.23","2134.51","2444.09","2368.67","1921.28","1218.26","455.71","0.0","0.0","0.0","0.0","640.81","1403.36","12586.69"
"EKS - Cluster Hours","2345.76","2423.95","2512.55","1664.14","1395.66","1016.06","1092.04","1088.64","892.21","622.08","798.34","1196.31","1102.03","1121.49","1092.27","1012.41","893.76","758.76","634.39","545.0","505.71","520.65","601.35","699.32","9487.14"
"EC2 - EBS Snapshot","1734.2","1695.68","1875.93","1590.78","6.47","5.74","8.9","6.91","7.92","5.56","2941.56","1177.8","1396.6","1390.41","1313.55","1189.43","1053.69","944.73","938.25","942.01","1004.53","1139.17","1283.43","1399.14","13994.94"
"Secrets Manager - Secret","261.04","1116.15","1200.02","1107.43","831.6","730.22","886.7","887.68","942.17","985.37","993.52","985.94","934.25","969.09","999.04","995.76","963.99","936.83","942.62","976.66","1005.88","1001.95","969.58","941.87","11637.52"
"Athena","288.38","545.8","344.87","244.74","263.95","904.26","672.49","764.05","734.38","729.53","781.78","816.44","786.14","778.69","783.78","804.52","839.68","884.03","929.75","968.55","993.87","1002.66","996.22","979.84","10747.73"
"RDS - Multi-AZ GP3 Storage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0","794.88","794.88","304.7","179.78","188.32","196.43","204.16","211.54","218.59","225.34","231.81","238.03","293.7","249.8","2742.2"
"EC2 - Application Load Balancer Usage","1447.77","563.15","549.76","486.82","0.0","-0.0","-0.0","0.0","0.0","-0.0","705.02","742.58","655.2","712.69","735.93","737.07","733.73","760.86","822.95","883.77","960.76","1084.56","1210.23","1319.54","10617.29"
"Virtual Private Cloud - Transit Gateway","1509.97","1444.03","743.93","880.68","122.41","89.03","83.88","74.75","36.71","27.08","652.44","682.94","670.95","743.9","770.43","760.27","732.34","709.73","737.34","789.22","843.18","961.74","1094.21","1217.66","10030.97"
"Redshift - Other","132.26","141.96","139.48","134.34","0.0","0.0","0.0","0.0","0.0","-0.0","407.54","666.62","312.37","329.09","334.48","333.58","331.97","341.57","351.75","361.68","384.62","409.12","430.42","444.34","4364.99"
"EC2 - Classic Load Balancer Transfer","1833.73","1628.45","2134.21","1142.59","330.89","287.73","352.91","390.6","321.92","291.37","671.86","642.18","662.86","665.54","616.12","520.21","395.93","271.39","194.65","161.89","181.53","247.98","343.11","441.09","4702.3"
"AWS S3","1233.11","1242.18","1191.99","845.04","-120268.61","-117554.11","-112708.16","-114509.45","-104695.12","-109505.45","635.74","639.96","3883.89","5022.02","3168.29","4632.83","5944.69","7118.02","8165.81","9099.95","9931.34","10669.96","11324.96","11904.74","90866.5"
"Glue - Data Catalog","284.17","317.04","362.84","360.5","0.0","-0.0","0.0","0.0","0.0","0.0","594.09","543.45","449.1","452.3","439.56","416.95","392.91","378.16","384.24","389.66","412.67","448.1","483.58","510.65","5157.88"
"DynamoDB - On-demand Write Capacity","1399.59","2036.95","712.0","636.68","0.0","0.0","0.0","0.0","0.0","0.0","549.77","516.47","503.23","497.66","446.51","360.3","258.82","165.87","151.66","147.11","149.8","210.03","300.8","382.52","3574.31"
"Virtual Private Cloud - IPv4","356.18","400.43","393.44","337.75","326.97","304.67","378.44","404.93","426.54","425.65","469.68","464.22","455.56","452.33","449.07","447.79","449.93","455.96","465.24","476.26","486.96","495.37","500.07","500.64","5635.18"
"Amazon Simple Notification Service","729.2","1101.69","1060.97","481.32","1.81","1.68","2.01","2.09","2.24","2.27","417.97","454.87","403.47","407.67","376.73","316.63","241.06","167.78","142.19","132.06","127.54","161.71","229.67","294.87","3001.38"
"EC2 - Network Load Balancer Usage","250.2","255.73","252.47","236.38","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","395.77","404.1","354.24","378.52","386.24","382.9","375.63","374.69","386.28","395.94","416.14","446.54","476.27","499.07","4872.46"
"DynamoDB - Provisioned Write Capacity","1135.96","1164.7","1007.89","617.59","-0.0","0.0","-0.0","0.0","0.0","-0.0","356.21","357.31","404.61","437.57","430.95","391.09","333.16","277.06","276.12","291.4","306.4","351.71","440.35","526.58","4467.0"
"RDS - Unused RI","3.89","3.6","2.76","8.06","-75422.66","-68855.89","-77234.88","-74743.43","-77234.88","-74088.75","857.98","336.56","2311.22","3195.1","1898.09","2864.62","3730.38","4504.73","5196.22","5812.71","6361.39","6848.84","7281.11","7663.74","57668.15"
"CloudWatch - Dashboards","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","297.31","298.01","114.68","68.9","72.35","75.63","78.77","81.76","84.62","87.37","90.0","92.53","113.55","97.32","1057.48"
"Certificate Manager - Certificate Authority","312.0","312.0","312.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","3456.0"
"Amazon Inspector","265.9","271.1","290.26","277.81","-0.0","-0.0","-0.0","0.0","-0.0","0.0","286.46","272.38","231.78","235.6","227.61","210.87","190.7","173.28","171.98","173.97","178.94","200.31","224.62","245.76","2465.42"
"Virtual Private Cloud - VPN Connection Usage","159.49","255.85","280.8","267.84","267.84","241.92","267.84","259.2","267.84","259.2","267.84","267.84","264.34","264.55","267.71","267.79","264.89","265.03","268.14","268.18","265.23","265.33","268.4","268.41","3198.0"
"Route 53 - Resolver","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","267.83","259.18","267.84","267.83","252.36","244.24","242.07","252.06","261.59","270.69","291.88","319.4","344.04","361.4","368.91","366.59","3575.23"
"S3 - Glacier","19093.07","14797.75","10838.06","4183.4","916.37","303.47","295.93","288.41","283.05","276.54","268.51","261.66","2314.3","2569.16","2410.75","1881.07","1121.6","335.41","53.86","52.28","50.71","156.24","912.54","1695.59","13553.51"
"AWS Key Management Service","337.25","349.6","357.44","281.27","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","263.81","260.88","225.89","230.58","221.41","201.53","176.9","154.7","151.9","153.47","154.88","177.73","205.61","230.73","2285.33"
"Systems Manager","7.45","8.25","279.55","142.32","0.0","-0.0","-0.0","0.0","0.0","0.0","321.02","232.43","134.38","146.46","192.66","188.98","158.43","168.81","213.46","208.38","176.56","185.78","229.38","223.35","2226.63"
"WAF - Request","87.97","98.53","94.26","89.66","96.07","87.95","109.31","112.08","126.33","114.86","153.29","191.38","146.55","147.57","148.89","151.27","155.14","160.49","166.91","173.67","179.91","184.92","188.26","189.96","1993.54"
"S3 - Transfer","436.73","732.36","389.53","262.11","290.7","211.14","191.32","194.58","217.3","232.19","227.89","189.79","216.99","219.52","215.15","204.41","189.61","174.23","161.98","155.76","156.92","164.86","177.21","190.43","2227.07"
"S3 - Monitoring and Automation","205.38","201.79","225.73","154.71","-0.0","0.0","0.0","-0.0","0.0","0.0","201.35","189.7","162.48","164.51","157.99","145.28","130.35","117.72","118.25","119.62","123.04","138.9","156.67","171.86","1706.67"
"EC2 - Classic Load Balancer Usage","300.24","310.25","308.88","275.11","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","235.8","187.49","175.1","177.82","168.4","149.34","125.66","103.57","96.96","96.05","95.06","111.03","133.03","153.24","1585.26"
"DynamoDB - Provisioned Read Capacity","1026.79","1061.22","885.13","323.15","0.0","0.0","-0.0","-0.0","-0.0","0.0","178.08","180.1","260.92","275.05","255.98","208.88","146.38","85.26","75.49","75.49","75.49","94.27","156.8","217.93","1927.94"
"ECR - Data Transfer","218.4","253.3","388.87","241.3","164.73","119.0","142.9","150.86","128.04","88.18","160.53","175.79","154.86","159.67","159.42","153.89","144.3","133.0","122.83","116.33","115.09","119.32","127.76","138.04","1644.51"
"CloudWatch - Other","22730.56","27084.74","15474.91","19067.63","-4404.55","-4015.65","-4182.6","-4234.31","-4283.32","-4233.35","213.12","153.09","4146.65","4798.24","4495.56","3319.72","1585.79","0.0","0.0","0.0","0.0","0.0","887.97","2715.39","21949.32"
"DynamoDB - Storage","175.35","184.1","181.37","160.54","0.0","0.0","0.0","0.0","0.0","0.0","144.65","142.56","123.14","125.71","120.96","110.55","97.64","86.02","84.4","85.3","86.09","98.52","113.27","126.55","1258.15"
"EC2 - Network Load Balancer Transfer","176.93","191.79","191.44","80.6","72.38","71.16","64.66","57.86","56.44","112.72","138.55","142.2","136.46","136.3","131.99","124.87","117.03","110.75","107.86","109.28","114.75","122.93","131.72","138.86","1482.8"
"S3 - Standard Infrequent Access","151.08","151.08","168.35","125.18","125.18","125.18","125.18","125.18","125.18","125.18","125.18","125.18","125.77","125.87","125.5","124.72","123.71","122.71","121.97","121.66","121.85","122.48","123.36","124.24","1483.84"
"RDS - Multi-AZ GP2 Storage","412.62","412.62","412.62","380.88","0.0","-0.0","0.0","-0.0","-0.0","0.0","115.92","115.92","128.68","132.06","120.12","94.3","65.57","36.48","22.66","22.82","22.96","28.89","57.02","86.42","817.98"
"EC2 Usage","140.4","140.23","140.53","-681.77","-42920.59","-124847.09","-104647.1","-73736.8","-65440.03","-49800.18","102.04","102.04","5162.41","5536.7","3488.31","4556.05","5512.47","6367.91","7131.82","7812.87","8419.0","8957.5","9435.04","11299.89","83679.97"
"OpenSearch - Storage","271.87","271.87","297.51","195.89","-0.0","0.0","-0.0","0.0","-0.0","0.0","89.46","89.46","96.35","100.99","95.66","81.59","62.4","43.13","35.93","35.77","35.66","41.44","60.2","79.16","768.28"
"CloudFront - Transfer","21.48","24.3","27.27","25.83","0.0","-0.0","-0.0","0.0","-0.0","0.0","117.08","80.23","56.54","56.45","54.95","53.04","52.15","53.97","55.68","58.49","63.73","69.15","73.69","76.5","724.34"
"EC2 - Application Load Balancer Transfer","904.23","71.55","80.92","44.01","40.47","23.31","29.29","36.32","44.68","51.14","73.71","74.45","73.62","74.37","72.83","69.95","66.96","65.03","65.0","67.11","71.04","75.89","80.52","83.82","866.14"
"EC2 Container Service - Fargate Compute","158.12","187.92","74.52","47.69","47.71","43.09","47.7","47.94","86.41","83.45","79.24","70.98","78.07","75.83","71.92","67.31","63.21","60.68","60.36","62.34","66.07","70.54","74.55","77.01","827.89"
"QuickSight - Author","50.4","50.4","56.16","51.84","51.84","51.84","51.84","51.84","51.84","51.84","59.83","69.12","54.34","54.85","55.7","55.53","55.0","55.49","56.31","56.11","55.56","56.02","56.82","56.61","668.34"
"EBS - PIOPs Storage","39.39","39.35","58.54","68.76","-0.0","-0.0","-0.0","0.0","-0.0","0.0","62.76","62.76","51.43","52.49","51.33","48.51","45.01","41.97","41.34","41.85","43.37","47.41","51.99","56.0","572.7"
"CloudWatch - Alarms","58.89","59.38","64.96","59.85","0.0","-0.0","0.0","-0.0","0.0","-0.0","65.98","61.65","52.56","53.35","51.51","47.77","43.32","39.52","39.38","39.84","41.12","45.94","51.36","56.03","561.7"
"EC2 Container Service - Fargate Memory","52.09","61.9","36.46","41.22","41.67","37.63","41.66","41.79","73.54","71.03","67.62","60.83","64.08","62.86","61.67","61.04","61.35","62.69","64.9","67.57","70.14","72.09","73.07","72.97","794.43"
"Lambda - Compute","2765.02","2939.45","3343.28","2740.87","1893.23","309.26","98.42","81.16","34.92","37.27","68.55","60.07","535.57","685.24","731.52","662.02","495.35","276.19","63.24","0.0","0.0","0.0","103.46","322.63","3875.22"
"EC2 - CPU Credits","104.8","237.13","672.1","1246.92","0.0","0.0","-0.0","0.0","-0.0","0.0","205.38","48.2","81.33","95.92","98.49","88.25","67.87","42.72","19.49","14.72","14.55","14.39","31.01","55.8","624.54"
"Amazon Kinesis","42.84","44.27","47.74","45.53","0.0","-0.0","0.0","0.0","0.0","0.0","45.53","45.53","38.21","38.87","37.6","34.89","31.61","28.76","28.54","28.87","29.65","33.14","37.12","40.59","407.85"
"SQS - Standard Queues","53.12","60.22","54.7","48.21","42.3","29.3","32.09","33.24","41.86","44.33","45.4","44.73","45.54","45.57","44.85","43.6","42.15","40.88","40.15","40.16","40.9","42.17","43.65","44.94","514.56"
"OpenSearch - Data Transfer","187.13","194.13","196.62","72.89","71.16","33.58","16.69","26.67","45.89","34.23","43.33","32.29","44.38","46.69","44.03","36.76","26.53","15.85","7.35","3.25","4.45","10.47","19.61","29.37","288.74"
"EC2 - EBS Surcharge","165.83","145.86","110.96","188.65","0.0","-0.0","0.0","-0.0","0.0","-0.0","95.71","32.09","43.99","46.55","44.16","36.92","26.78","16.49","11.07","11.15","11.23","15.91","26.24","36.69","327.18"
"SQS - FIFO Queues","33.62","32.25","38.87","38.81","39.6","39.73","43.74","39.12","36.08","32.47","32.47","31.31","32.13","32.4","32.84","33.29","33.58","33.58","33.26","32.67","31.92","31.2","30.65","30.41","387.93"
"Step Functions - State Transition","33.62","34.87","34.82","31.95","29.13","25.09","20.87","23.82","26.62","29.24","25.44","29.52","28.87","29.04","28.85","28.34","27.65","26.96","26.46","26.27","26.45","26.95","27.63","28.31","331.78"
"WAF - WebACL","15.25","15.23","15.67","14.43","14.42","14.44","14.46","14.43","14.42","16.64","25.79","28.82","19.25","19.16","19.02","18.93","18.96","19.17","19.54","20.04","20.56","21.01","21.32","21.45","238.41"
"RDS - Charged Backup Usage","536.19","535.31","534.31","72.49","-2099.27","-2018.32","-2061.99","-1944.52","-1993.34","-1937.36","26.82","26.8","155.65","177.09","109.06","71.7","93.86","113.68","131.38","147.15","161.2","173.67","184.74","244.95","1764.13"
"SageMaker - Notebook Instance Compute","23.39","24.17","26.06","24.86","0.0","0.0","0.0","0.0","0.0","0.0","24.86","24.86","20.86","21.22","20.53","19.05","17.26","15.7","15.58","15.76","16.19","18.09","20.27","22.16","222.67"
"RDS - GP3 Storage","21.53","21.53","21.53","26.67","-0.0","0.0","0.0","-0.0","0.0","-0.0","16.56","16.56","14.1","14.55","14.08","12.87","11.28","9.76","9.22","9.31","9.39","10.66","12.44","14.13","141.79"
"Route 53 - Query","11.04","13.35","13.51","12.57","12.47","12.86","13.97","13.54","15.56","14.56","15.35","16.45","15.59","15.56","15.57","15.66","15.82","16.07","16.36","16.65","16.89","17.06","17.13","17.12","195.48"
"WAF - Rule","10.71","10.7","10.96","10.1","10.09","10.1","10.12","10.1","10.09","11.09","12.59","13.69","12.03","12.02","11.97","11.93","11.92","11.96","12.06","12.21","12.39","12.56","12.69","12.76","146.5"
"Glue - Crawler","11.49","12.48","13.16","12.64","12.45","11.48","12.83","12.19","12.87","12.65","13.04","13.44","12.93","13.16","13.08","13.13","13.26","13.11","13.36","13.19","13.34","13.36","13.29","13.49","158.7"
"ElastiCache - Other","8.41","6.6","7.74","8.56","-0.0","-0.0","0.0","0.0","0.0","-0.0","12.25","11.96","10.54","11.26","11.48","11.36","11.12","11.02","11.36","11.64","12.24","13.14","14.04","14.73","143.93"
"Lambda - Request","205.59","212.11","236.36","222.14","147.32","27.55","12.19","11.34","5.79","6.04","11.35","9.97","39.72","50.88","54.59","49.86","37.95","22.06","6.44","0.0","0.0","0.0","8.21","24.1","293.81"
"AWS Service Catalog","20.64","13.51","6.93","7.57","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","6.5","7.5","7.03","7.51","7.42","6.91","6.21","5.68","5.87","6.03","6.16","7.08","8.14","9.05","83.09"
"DynamoDB - Other","6.07","6.18","6.2","5.7","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","6.2","6.33","5.27","5.34","5.15","4.77","4.32","3.94","3.95","4.0","4.12","4.6","5.15","5.62","56.23"
"CloudWatch - Events","5.46","7.31","5.18","4.32","0.0","0.0","0.0","-0.0","0.0","0.0","4.84","5.25","4.38","4.44","4.27","3.91","3.48","3.11","3.13","3.17","3.23","3.67","4.17","4.6","45.56"
"Amazon Elastic File System","191.39","191.33","213.14","57.99","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","3.87","3.87","33.32","37.64","35.57","27.66","16.03","3.8","0.0","0.0","0.0","0.0","11.54","23.77","189.33"
"CloudFront - HTTPS Requests","0.65","0.6","0.57","0.48","-0.0","0.0","0.0","-0.0","0.0","0.0","3.05","3.19","1.4","1.39","1.35","1.3","1.29","1.34","1.38","1.45","1.59","1.73","1.84","1.91","17.97"
"Route 53 - Hosted Zone","2.97","3.34","3.43","3.22","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","3.02","36.24"
"Route 53 - Health Check","3.43","3.43","3.39","3.14","3.1","3.12","3.1","3.13","3.03","2.99","3.0","2.96","3.01","3.02","3.02","3.0","2.98","2.96","2.93","2.92","2.91","2.92","2.93","2.95","35.55"
"Lambda - Data Transfer","872.31","891.28","1022.03","998.17","463.87","114.48","71.51","50.07","2.82","2.75","2.68","2.77","164.96","212.78","228.67","208.39","157.36","89.25","22.32","0.0","0.0","0.0","29.92","98.03","1211.68"
"Backup","2.78","2.78","2.78","2.57","0.0","0.0","0.0","0.0","0.0","0.0","2.57","2.57","2.17","2.21","2.13","1.96","1.76","1.58","1.57","1.59","1.63","1.83","2.07","2.28","22.78"
"AWS CloudTrail","5770.85","8714.7","6775.41","2516.38","-0.0","-0.0","0.0","0.0","-0.0","0.0","2.59","2.52","1169.5","1339.42","1281.03","1009.98","598.88","157.9","0.0","0.0","0.0","0.0","375.82","816.8","6749.33"
"S3 - Glacier Overhead","630.27","631.98","666.18","494.61","121.7","2.87","2.8","2.71","2.61","2.53","2.45","2.41","113.57","136.45","137.07","115.27","76.89","32.22","0.0","0.0","0.0","0.0","29.9","74.58","715.95"
"AWS Cost Explorer","1.57","1.53","1.51","1.32","0.0","-0.0","-0.0","-0.0","0.0","0.0","2.16","2.1","1.88","2.01","2.04","2.01","1.96","1.94","1.99","2.04","2.14","2.31","2.48","2.61","25.41"
"EBS - I/O","0.01","0.86","1.4","1.1","0.0","0.0","0.0","-0.0","0.0","-0.0","1.14","1.15","0.94","0.97","0.96","0.92","0.87","0.82","0.8","0.81","0.83","0.9","0.97","1.05","10.84"
"CloudFront - Other","0.0","0.0","0.0","0.0","0.01","0.0","0.07","0.36","0.83","0.23","0.5","0.59","0.51","0.49","0.5","0.52","0.55","0.58","0.64","0.7","0.75","0.77","0.78","0.77","7.56"
"AWS Config","33337.13","30791.36","6007.29","0.54","0.0","-0.0","-0.0","0.0","-0.0","-0.0","1.57","0.53","605.38","662.66","605.32","448.72","234.83","20.96","0.0","0.0","0.0","21.08","234.96","448.83","3282.74"
"SageMaker - Notebook Instance GP2 Storage","0.49","0.49","0.55","0.5","0.0","-0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.42","0.43","0.41","0.38","0.35","0.31","0.31","0.31","0.32","0.36","0.41","0.45","4.46"
"SQS - API","0.46","0.74","0.46","0.44","-81.9","-69.03","-75.83","-72.36","-77.94","-76.8","0.47","0.47","2.28","3.04","1.83","2.8","3.67","4.44","5.14","5.76","6.31","6.8","7.23","7.61","56.91"
"Glue - Other","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cloud Map - Service Registry","0.0","0.0","0.0","0.0","0.0","0.03","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.21","0.22","0.23","0.24","0.26","0.29","0.31","0.33","0.33","0.33","0.32","3.29"
"Neptune - Other","0.17","0.17","0.17","0.15","0.0","0.0","0.0","-0.0","0.0","-0.0","0.15","0.15","0.13","0.13","0.12","0.11","0.1","0.09","0.09","0.09","0.09","0.11","0.12","0.13","1.31"
"DynamoDB - Backup","0.07","0.07","0.07","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.07","0.07","0.06","0.06","0.05","0.05","0.04","0.04","0.04","0.05","0.05","0.06","0.06","0.63"
"CodeBuild - Build Minutes","1.15","0.89","3.54","1.77","5.91","1.37","1.27","1.27","0.06","0.06","0.07","0.06","0.27","0.45","0.6","0.68","0.66","0.56","0.4","0.21","0.06","0.01","0.01","0.09","4.0"
